datahora;satelite;pais;estado;municipio;bioma;diasemchuva;precipitacao;riscofogo;latitude;longitude;frp;latitude1;longitude2
24/08/2021 16:43;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;32;0;1;-1.594.109;-4.814.801;119,3;-15,94109;-48,14801
24/08/2021 16:43;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;32;0;1;-1.570.608;-4.766.766;17;-15,70608;-47,66766
24/08/2021 16:43;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;32;0;-999;-1.565.332;-4.819.957;19,9;-15,65332;-48,19957
24/08/2021 16:43;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;32;0;-999;-1.565.131;-4.819.438;28,7;-15,65131;-48,19438
24/08/2021 16:43;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;32;0;1;-1.564.325;-4.820.105;388,2;-15,64325;-48,20105
24/08/2021 16:43;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;32;0;1;-156.417;-4.818.925;245,6;-15,6417;-48,18925
25/08/2021 17:26;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;33;0;1;-1.577.807;-4.766.196;104,9;-15,77807;-47,66196
25/08/2021 17:26;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;33;0;1;-1.577.523;-476.698;69,9;-15,77523;-47,6698
25/08/2021 17:26;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;33;0;1;-1.577.319;-4.763.591;27,2;-15,77319;-47,63591
25/08/2021 17:26;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;33;0;1;-1.577.054;-4.764.381;71,6;-15,77054;-47,64381
26/08/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;34;0;1;-1.559.345;-4.785.731;66,1;-15,59345;-47,85731
27/08/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;35;0;1;-15.528;-4.788.119;33,2;-15,528;-47,88119
27/08/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;35;0;1;-1.552.773;-4.787.436;31,4;-15,52773;-47,87436
28/08/2021 16:20;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;36;0;1;-1.561.124;-4.817.529;88,2;-15,61124;-48,17529
28/08/2021 16:20;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;36;0;1;-1.560.349;-4.818.098;217,5;-15,60349;-48,18098
28/08/2021 16:20;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;36;0;1;-1.558.765;-4.818.489;406,8;-15,58765;-48,18489
28/08/2021 16:20;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;36;0;1;-155.754;-4.816.023;131,1;-15,5754;-48,16023
28/08/2021 16:20;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;36;0;1;-1.557.913;-4.819.424;80,1;-15,57913;-48,19424
28/08/2021 16:20;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;36;0;1;-1.558.398;-481.494;126;-15,58398;-48,1494
29/08/2021 17:02;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;37;0;1;-1.567.359;-4.766.943;40,2;-15,67359;-47,66943
31/08/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;40;0;1;-1.591.408;-4.774.295;11,8;-15,91408;-47,74295
04/09/2021 16:26;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;43;0;1;-1.576.725;-4.799.562;206,9;-15,76725;-47,99562
07/09/2021 16:56;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;46;0;1;-1.567.037;-4.762.612;11,1;-15,67037;-47,62612
07/09/2021 16:56;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;46;0;1;-1.567.171;-4.763.538;12;-15,67171;-47,63538
07/09/2021 16:56;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;46;0;1;-160.351;-4.785.763;13;-16,0351;-47,85763
07/09/2021 16:56;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;46;0;1;-1.578.556;-4.803.763;65,8;-15,78556;-48,03763
07/09/2021 16:56;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;46;0;1;-1.578.689;-4.804.689;49,8;-15,78689;-48,04689
07/09/2021 16:56;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;46;0;1;-158.473;-4.808.487;82;-15,8473;-48,08487
07/09/2021 16:56;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;46;0;-999;-1.579.453;-4.803.624;24,7;-15,79453;-48,03624
07/09/2021 16:56;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;46;0;-999;-1.573.662;-4.776.105;11,7;-15,73662;-47,76105
07/09/2021 16:56;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;46;0;1;-1.573.528;-4.775.177;29,2;-15,73528;-47,75177
07/09/2021 16:56;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;46;0;1;-1.572.383;-4.799.704;32,8;-15,72383;-47,99704
07/09/2021 16:56;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;46;0;1;-1.571.513;-4.780.901;11,4;-15,71513;-47,80901
07/09/2021 16:56;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;46;0;1;-1.570.444;-4.773.479;13,1;-15,70444;-47,73479
09/09/2021 16:43;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;48;0;1;-1.578.139;-4.807.742;222,3;-15,78139;-48,07742
09/09/2021 16:43;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;48;0;1;-157.644;-4.810.385;255;-15,7644;-48,10385
09/09/2021 16:43;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;48;0;1;-157.629;-4.809.214;244;-15,7629;-48,09214
09/09/2021 16:43;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;48;0;1;-1.568.985;-4.785.107;30,8;-15,68985;-47,85107
09/09/2021 16:43;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;48;0;-999;-1.568.835;-4.783.978;9,1;-15,68835;-47,83978
10/09/2021 17:26;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;49;0;1;-1.581.237;-4.777.425;128,6;-15,81237;-47,77425
10/09/2021 17:26;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;49;0;1;-1.580.874;-4.778.274;129;-15,80874;-47,78274
04/06/2021 17:35;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-15.937;-48.119;48;-15,937;-48,119
04/06/2021 17:35;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-15.939;-48,11;39,8;-15,939;-48,11
07/07/2021 16:40;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;22;0;1;-15.686;-48.237;19;-15,686;-48,237
07/07/2021 16:40;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;22;0;0.9;-15.685;-48,23;101,6;-15,685;-48,23
07/07/2021 16:40;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;22;0;0.8;-15.685;-48.225;46,9;-15,685;-48,225
07/07/2021 16:40;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;21;0;1;-15.675;-48.226;12,3;-15,675;-48,226
11/09/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.552.345;-4.804.238;47,5;-15,52345;-48,04238
11/09/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.552.575;-4.806.184;40,8;-15,52575;-48,06184
11/09/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.553.575;-4.803.916;58,8;-15,53575;-48,03916
11/09/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.554.756;-4.748.462;56,6;-15,54756;-47,48462
11/09/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.554.811;-4.803.651;154,4;-15,54811;-48,03651
11/09/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.554.923;-4.803.146;83,1;-15,54923;-48,03146
11/09/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.554.967;-4.750.217;45,2;-15,54967;-47,50217
11/09/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.555.054;-4.805.669;108,6;-15,55054;-48,05669
11/09/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.555.148;-4.805.145;171,5;-15,55148;-48,05145
11/09/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.555.742;-4.746.572;38,4;-15,55742;-47,46572
11/09/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.562.797;-4.774.183;53,2;-15,62797;-47,74183
11/09/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.563.186;-4.773.441;51;-15,63186;-47,73441
11/09/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.563.393;-4.775.233;87,6;-15,63393;-47,75233
11/09/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.564.613;-4.775.042;29;-15,64613;-47,75042
11/09/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.571.701;-4.814.062;27,7;-15,71701;-48,14062
11/09/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.598.564;-4.743.524;45,3;-15,98564;-47,43524
11/09/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.599.761;-4.743.345;279,2;-15,99761;-47,43345
11/09/2021 16:33;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.599.968;-4.745.074;16,5;-15,99968;-47,45074
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;51;0;1;-1.557.837;-4.746.292;14,4;-15,57837;-47,46292
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;51;0;1;-1.564.456;-4.773.472;105,2;-15,64456;-47,73472
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;51;0;1;-1.564.718;-4.775.022;121,1;-15,64718;-47,75022
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;51;0;1;-1.573.625;-4.733.152;128;-15,73625;-47,33152
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;51;0;1;-157.388;-4.731.962;151,8;-15,7388;-47,31962
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;51;0;1;-1.574.152;-4.733.606;131,1;-15,74152;-47,33606
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;51;0;1;-1.574.784;-4.732.932;101;-15,74784;-47,32932
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;51;0;1;-1.591.652;-4.742.402;52,4;-15,91652;-47,42402
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;51;0;1;-1.591.914;-474.397;76,6;-15,91914;-47,4397
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;51;0;1;-1.592.801;-4.742.191;133;-15,92801;-47,42191
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;51;0;1;-1.593.057;-4.743.735;184,9;-15,93057;-47,43735
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;51;0;1;-1.598.288;-4.782.326;48,2;-15,98288;-47,82326
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;51;0;1;-1.598.533;-4.783.815;38,7;-15,98533;-47,83815
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;54;0;1;-1.599.177;-4.746.959;23,3;-15,99177;-47,46959
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;56;0;1;-1.599.445;-4.748.546;889,6;-15,99445;-47,48546
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;60;0;1;-1.599.711;-4.750.121;552;-15,99711;-47,50121
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;64;0;1;-1.603.128;-4.749.475;25;-16,03128;-47,49475
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;69;0;1;-1.604.332;-4.750.185;49,8;-16,04332;-47,50185
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;51;0;1;-1.604.446;-4.785.136;107,8;-16,04446;-47,85136
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;72;0;1;-1.604.532;-4.750.868;41,3;-16,04532;-47,50868
12/09/2021 17:15;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;51;0;1;-1.604.696;-4.786.624;235,1;-16,04696;-47,86624
13/09/2021 16:20;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.553.691;-4.806.284;63,6;-15,53691;-48,06284
13/09/2021 16:20;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;;;;-1.554.624;-4.805.226;56,4;-15,54624;-48,05226
14/09/2021 17:02;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;53;0;1;-1.579.404;-4.808.415;10,9;-15,79404;-48,08415
14/09/2021 17:02;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;53;0;1;-1.596.955;-481.526;71,5;-15,96955;-48,1526
14/09/2021 17:02;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;53;0;-999;-158.024;-4.808.625;8,6;-15,8024;-48,08625
14/09/2021 17:02;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;53;0;1;-1.559.993;-475.266;26,1;-15,59993;-47,5266
14/09/2021 17:02;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;53;0;1;-1.590.733;-4.811.322;15,6;-15,90733;-48,11322
14/09/2021 17:02;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;53;0;1;-1.591.649;-4.811.165;10,3;-15,91649;-48,11165
14/09/2021 17:02;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;53;0;1;-1.555.058;-4.806.582;10,4;-15,55058;-48,06582
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-1.554.474;-4.810.429;78,4;-15,54474;-48,10429
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-1.554.339;-4.809.445;117,6;-15,54339;-48,09445
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-1.554.205;-4.808.462;51;-15,54205;-48,08462
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;-999;-1.601.507;-4.804.436;36,4;-16,01507;-48,04436
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-1.596.823;-4.777.142;19,4;-15,96823;-47,77142
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-1.556.588;-4.812.099;71,5;-15,56588;-48,12099
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-1.556.452;-4.811.104;92,8;-15,56452;-48,11104
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-1.556.316;-4.810.117;103,5;-15,56316;-48,10117
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-155.618;-4.809.125;47,3;-15,5618;-48,09125
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-1.555.529;-4.811.256;19,2;-15,55529;-48,11256
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-1.555.394;-4.810.267;107;-15,55394;-48,10267
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-1.555.259;-4.809.277;40,3;-15,55259;-48,09277
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-1.591.841;-477.491;17,2;-15,91841;-47,7491
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-1.590.926;-477.505;31,1;-15,90926;-47,7505
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-1.589.209;-4.795.841;28,4;-15,89209;-47,95841
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-1.588.288;-4.795.984;8,3;-15,88288;-47,95984
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;89;0;1;-158.599;-4.825.282;8,5;-15,8599;-48,25282
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;69;0;1;-158.038;-4.818.914;9,2;-15,8038;-48,18914
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-1.576.781;-4.799.232;11,5;-15,76781;-47,99232
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-1.565.299;-4.789.587;11,9;-15,65299;-47,89587
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-1.565.168;-478.862;15;-15,65168;-47,8862
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-155.751;-4.811.945;36,2;-15,5751;-48,11945
16/09/2021 16:50;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;55;0;1;-1.557.374;-4.810.955;12,4;-15,57374;-48,10955
17/09/2021 17:34;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;56;0;1;-160.425;-4.824.005;40,2;-16,0425;-48,24005
17/09/2021 17:34;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;56;0;1;-1.603.684;-48,21;102,3;-16,03684;-48,21
17/09/2021 17:34;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;56;0;1;-1.602.726;-482.433;87,8;-16,02726;-48,2433
17/09/2021 17:34;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;56;0;1;-1.596.979;-4.816.569;40,9;-15,96979;-48,16569
17/09/2021 17:34;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;56;0;1;-1.552.806;-48.092;55,4;-15,52806;-48,092
18/09/2021 16:39;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;57;0;1;-1.568.904;-4.785.228;25,3;-15,68904;-47,85228
18/09/2021 16:39;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;57;0;1;-155.787;-4.815.354;55,7;-15,5787;-48,15354
18/09/2021 16:39;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;57;0;1;-1.557.681;-4.813.768;57,8;-15,57681;-48,13768
18/09/2021 16:39;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;57;0;1;-1.557.677;-4.814.505;85,3;-15,57677;-48,14505
18/09/2021 16:39;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;57;0;1;-1.569.083;-4.786.665;19,8;-15,69083;-47,86665
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.562.304;-4.787.748;54,4;-15,62304;-47,87748
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.561.964;-4.785.822;44,8;-15,61964;-47,85822
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.561.865;-4.786.558;44;-15,61865;-47,86558
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.558.934;-4.806.991;58,8;-15,58934;-48,06991
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-155.796;-4.801.394;35,1;-15,5796;-48,01394
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.556.826;-478.744;71,9;-15,56826;-47,8744
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;-999;-1.556.483;-4.785.469;27,8;-15,56483;-47,85469
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.556.404;-4.777.491;29,1;-15,56404;-47,77491
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.556.061;-4.775.505;197,2;-15,56061;-47,75505
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.551.376;-4.808.595;58,3;-15,51376;-48,08595
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.603.577;-4.783.308;54,1;-16,03577;-47,83308
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.593.044;-4.805.713;41,6;-15,93044;-48,05713
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.592.908;-4.806.246;23,5;-15,92908;-48,06246
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.564.851;-4.787.482;92,9;-15,64851;-47,87482
